siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new,level12_new
F-Pn Latin 1085,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 1090,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn Latin 1240,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17296,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
F-Pn NAL 1535,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30848,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30850,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
I-CHV s.c.,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
I-Fl Conv. sopp. 560,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
I-Lc 601,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
I-MZ 15/79,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
GB-Lbl Add MS 30849,1324,53,12,2,2,0,0,0,0,0,0,0,0,22,9,2,0,0,0,0,0,0,0,0,0,0
E-SI MS 9,152,45,2,2,2,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0
V-CVbav San Pietro B.79,152,45,2,2,2,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0
F-AS 465 (CGM 893),417,53,12,2,2,0,0,0,0,0,0,0,0,6,9,2,0,0,0,0,0,0,0,0,0,0
F-CA Impr. XVI C 4,417,53,12,2,2,0,0,0,0,0,0,0,0,6,9,2,0,0,0,0,0,0,0,0,0,0
F-Collection privée Mont-Renaud,2435,14,12,2,2,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0
D-KWsr Drachenfels-Missale,2435,14,12,2,2,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0
F-CA Ms 0060 (61),2435,14,12,2,2,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0
F-PR Ms 0012,2435,14,12,2,2,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0
F-Pa Ms 0197,2435,14,12,2,2,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0
F-Pn Lat. 17307,2435,14,12,2,2,0,0,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0
