siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
CH-ROM Ms. liturg. FiD 5,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
CZ-Bm A 7115,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
D-KA Lichtenthal 002,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
E-Bbc M 1147,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pn NAL 1414,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-AN Ms 0091,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-LA Ms 236,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-AS Ms 0437 (cat. 1011),815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-Pn NAL 1890,815,25,7,3,2,0,0,0,0,0,0,0,23,4,1,1,1,0,0,0,0,0,0,0
F-LA Ms 240,1283,42,11,3,2,0,0,0,0,0,0,0,35,5,2,1,1,0,0,0,0,0,0,0
NL-Uu Hs. 0062,1283,42,11,3,2,0,0,0,0,0,0,0,35,5,2,1,1,0,0,0,0,0,0,0
D-Kl Theol. quart 0015,1283,42,11,3,2,0,0,0,0,0,0,0,35,5,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 9449,1283,42,11,3,2,0,0,0,0,0,0,0,35,5,2,1,1,0,0,0,0,0,0,0
CH-SGs Cod 342,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
A-KN Cod 588,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
CH-SGs Cod 376,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
A-Gu Ms 0807,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
A-KN Cod 73,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
CZ-R R 418,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
CH-SGs Cod 374,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
D-TRp Hs 187,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
CH-SGs Cod 381,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
CH-SGs Cod 343,566,25,7,3,2,0,0,0,0,0,0,0,16,4,1,1,1,0,0,0,0,0,0,0
CH-SGs Cod 375,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
F-Pa Ms 0135,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 9441,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
D-W Cod Guelf Helmst 1008,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 903,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 780,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
US-PHf Lewis E 158,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 1132,147,12,11,3,2,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 909,1137,42,11,3,2,0,0,0,0,0,0,0,32,5,2,1,1,0,0,0,0,0,0,0
F-CA Ms 0078 (79),1137,42,11,3,2,0,0,0,0,0,0,0,32,5,2,1,1,0,0,0,0,0,0,0
F-Pn Lat. 1121,1137,42,11,3,2,0,0,0,0,0,0,0,32,5,2,1,1,0,0,0,0,0,0,0
E-Bbc M 889,1137,42,11,3,2,0,0,0,0,0,0,0,32,5,2,1,1,0,0,0,0,0,0,0
E-Bbc Ms. 3180,1137,42,11,3,2,0,0,0,0,0,0,0,32,5,2,1,1,0,0,0,0,0,0,0
F-SEm Ms 018,1137,42,11,3,2,0,0,0,0,0,0,0,32,5,2,1,1,0,0,0,0,0,0,0
TR-Itks 2429,785,55,0,2,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0
H-Efkö MS I. 3. a,785,55,0,2,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0
H-Efkö MS I. 1 a-b,785,55,0,2,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0
RO-Sb Ms. 759,785,55,0,2,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0
"SK-BRa EC Lad. 3, EL 18",785,55,0,2,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0
"H-Bn Clmae 172a, 172b",785,55,0,2,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0
CZ-Pn XIII B 2,171,42,11,3,2,0,0,0,0,0,0,0,3,5,2,1,1,0,0,0,0,0,0,0
CZ-Pu XIII A 5c,171,42,11,3,2,0,0,0,0,0,0,0,3,5,2,1,1,0,0,0,0,0,0,0
CZ-OLu M III 6,171,42,11,3,2,0,0,0,0,0,0,0,3,5,2,1,1,0,0,0,0,0,0,0
E-L Ms 8,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
GB-Lbl Add MS 30846,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
E-Tc 35.4,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
E-Mh Cod. 30,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
E-Tc 35.6,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
GB-Lbl Add MS 30844,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
I-VEcap Codex Veronensis LXXXIX,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
GB-Lbl Add MS 30845,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
GB-Lbl Add MS 30851,840,67,11,3,2,0,0,0,0,0,0,0,24,8,2,1,1,0,0,0,0,0,0,0
F-VAL Ms 0121,356,7,11,3,2,0,0,0,0,0,0,0,9,0,2,1,1,0,0,0,0,0,0,0
GB-Lbl Additional 18032,356,7,11,3,2,0,0,0,0,0,0,0,9,0,2,1,1,0,0,0,0,0,0,0
F-RS Ms 0221,356,7,11,3,2,0,0,0,0,0,0,0,9,0,2,1,1,0,0,0,0,0,0,0
