siglum,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level0_new,level1_new,level2_new,level3_new,level4_new,level5_new,level6_new,level7_new,level8_new,level9_new,level10_new,level11_new
SK-Bra BAIII ECLad.6,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
CDN-Ttfl MSS 09700,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
F-Pn NAL 1411,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
Cantus GOTTSCHALK,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
I-CHV s.c.,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
E-Bbc M 705,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
E-Bbc M 706,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
E-Tc 35.5,479,19,1,0,1,2,0,0,0,0,0,0,7,4,1,0,1,0,0,0,0,0,0,0
"E-BAR, s.s.",483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
E-Bbc Ms. 2545,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
HR-Hf Cod. C Nr. 4,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
PL-STAb ms. 1,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
V-CVbav Cappella Sistina 27,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
CZ-Pn XII A 24,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
DK-Kk Gl. Kgl. S. 3449 8o [01] I,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
"E-TZ, Ms. 18",483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
PL-GD Mar. F 408,483,11,6,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0
E-H Ms. 7 (ant. 5),878,11,6,0,1,2,0,0,0,0,0,0,14,3,2,0,1,0,0,0,0,0,0,0
AUS-Sfl Add. Ms. 413 (olim Add. Ms. Fol.1),878,11,6,0,1,2,0,0,0,0,0,0,14,3,2,0,1,0,0,0,0,0,0,0
E-VI Mss. 113-114,878,11,6,0,1,2,0,0,0,0,0,0,14,3,2,0,1,0,0,0,0,0,0,0
PL-STAb ms. 2,878,11,6,0,1,2,0,0,0,0,0,0,14,3,2,0,1,0,0,0,0,0,0,0
P-BRs Ms. 028,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-Ln RES. 253 P.,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-AR Res. Ms. 025,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-EVpc 000,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-BRs Ms. 034,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-AR Res. Ms. 021,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
P-BRs Ms. 032,1040,33,6,0,1,2,0,0,0,0,0,0,18,5,2,0,1,0,0,0,0,0,0,0
